iter	Passed	Remaining
0	6	7452
1	12	7289
2	18	7108
3	25	7033
4	31	7001
5	37	7021
6	43	6948
7	49	6975
8	55	6951
9	61	6903
10	67	6883
11	73	6855
12	79	6862
13	86	6861
14	92	6858
15	98	6865
16	105	6898
17	113	7018
18	119	7002
19	126	7000
20	132	6994
21	138	6965
22	145	7000
23	151	6984
24	157	6954
25	163	6944
26	169	6908
27	175	6886
28	180	6841
29	186	6824
30	192	6824
31	198	6806
32	204	6799
33	211	6808
34	217	6787
35	223	6780
36	229	6774
37	235	6748
38	241	6740
39	246	6719
40	252	6690
41	257	6676
42	263	6645
43	270	6676
44	276	6663
45	282	6646
46	288	6637
47	294	6633
48	300	6624
49	306	6615
50	312	6602
51	318	6594
52	324	6580
53	330	6569
54	336	6564
55	342	6553
56	348	6545
57	353	6535
58	360	6531
59	365	6520
60	371	6511
61	377	6502
62	383	6495
63	389	6486
64	395	6476
65	401	6472
66	408	6468
67	413	6455
68	419	6447
69	425	6443
70	432	6438
71	437	6428
72	443	6419
73	449	6412
74	455	6401
75	461	6390
76	467	6384
77	472	6373
78	478	6360
79	484	6353
80	490	6343
81	496	6335
82	502	6327
83	508	6322
84	514	6315
85	519	6304
86	527	6320
87	538	6375
88	548	6414
89	559	6463
90	565	6455
91	572	6447
92	577	6434
93	583	6423
94	589	6411
95	594	6402
96	601	6394
97	606	6383
98	612	6374
99	618	6365
100	624	6352
101	633	6376
102	641	6387
103	646	6376
104	652	6367
105	658	6358
106	664	6348
107	670	6340
108	676	6330
109	682	6323
110	688	6313
111	694	6305
112	700	6297
113	706	6289
114	714	6297
115	721	6304
116	728	6305
117	734	6297
118	741	6289
119	747	6282
120	753	6273
121	758	6263
122	764	6256
123	770	6247
124	776	6240
125	783	6232
126	789	6226
127	795	6217
128	800	6208
129	806	6200
130	812	6192
131	818	6181
132	824	6172
133	830	6165
134	836	6156
135	842	6149
136	848	6141
137	853	6132
138	861	6138
139	867	6130
140	875	6133
141	883	6138
142	892	6154
143	900	6157
144	906	6149
145	912	6145
146	922	6163
147	928	6156
148	934	6148
149	940	6140
150	950	6156
151	956	6150
152	968	6177
153	974	6168
154	980	6164
155	987	6156
156	992	6147
157	998	6137
158	1004	6125
159	1009	6115
160	1015	6106
161	1021	6095
162	1027	6091
163	1036	6100
164	1042	6091
165	1049	6087
166	1055	6082
167	1062	6075
168	1068	6068
169	1074	6060
170	1080	6053
171	1086	6045
172	1092	6038
173	1098	6028
174	1104	6022
175	1110	6014
176	1116	6007
177	1122	5998
178	1128	5991
179	1135	5986
180	1141	5977
181	1147	5970
182	1153	5963
183	1159	5956
184	1169	5968
185	1179	5977
186	1191	6003
187	1199	6002
188	1205	5996
189	1211	5988
190	1217	5980
191	1223	5971
192	1229	5963
193	1237	5965
194	1246	5970
195	1253	5968
196	1260	5961
197	1267	5958
198	1273	5951
199	1279	5943
200	1285	5933
201	1291	5924
202	1296	5915
203	1302	5906
204	1308	5898
205	1314	5891
206	1320	5883
207	1327	5876
208	1333	5868
209	1341	5872
210	1351	5881
211	1363	5899
212	1370	5891
213	1375	5883
214	1381	5873
215	1387	5864
216	1393	5854
217	1399	5846
218	1405	5839
219	1411	5832
220	1417	5823
221	1423	5816
222	1429	5809
223	1435	5801
224	1441	5793
225	1447	5785
226	1453	5775
227	1459	5767
228	1465	5759
229	1471	5751
230	1477	5742
231	1482	5733
232	1488	5724
233	1494	5716
234	1500	5707
235	1506	5698
236	1517	5712
237	1526	5714
238	1533	5711
239	1539	5702
240	1545	5694
241	1551	5686
242	1557	5677
243	1563	5672
244	1570	5664
245	1579	5668
246	1588	5670
247	1593	5661
248	1599	5652
249	1605	5644
250	1611	5636
251	1617	5627
252	1622	5618
253	1628	5609
254	1633	5599
255	1639	5592
256	1645	5583
257	1650	5573
258	1656	5564
259	1662	5555
260	1667	5546
261	1673	5538
262	1679	5529
263	1684	5520
264	1691	5513
265	1697	5505
266	1702	5495
267	1708	5488
268	1713	5479
269	1719	5469
270	1724	5461
271	1730	5452
272	1736	5444
273	1742	5436
274	1747	5427
275	1753	5419
276	1762	5419
277	1767	5412
278	1775	5408
279	1782	5404
280	1788	5396
281	1794	5390
282	1800	5383
283	1806	5375
284	1812	5368
285	1818	5360
286	1824	5353
287	1830	5345
288	1836	5338
289	1842	5330
290	1848	5323
291	1854	5315
292	1860	5308
293	1866	5300
294	1871	5291
295	1877	5284
296	1883	5276
297	1889	5269
298	1895	5261
299	1901	5253
300	1906	5245
301	1913	5239
302	1919	5231
303	1925	5224
304	1931	5216
305	1936	5209
306	1942	5201
307	1948	5193
308	1954	5185
309	1960	5178
310	1965	5170
311	1972	5164
312	1978	5157
313	1984	5150
314	1990	5144
315	1996	5137
316	2002	5130
317	2009	5124
318	2016	5120
319	2028	5127
320	2041	5138
321	2052	5144
322	2066	5156
323	2076	5159
324	2085	5160
325	2093	5157
326	2101	5155
327	2107	5147
328	2113	5140
329	2119	5132
330	2125	5124
331	2131	5116
332	2137	5109
333	2143	5102
334	2149	5093
335	2155	5086
336	2161	5080
337	2167	5072
338	2173	5064
339	2179	5057
340	2185	5049
341	2191	5042
342	2197	5034
343	2203	5028
344	2209	5021
345	2215	5013
346	2221	5006
347	2227	4998
348	2233	4991
349	2239	4984
350	2245	4977
351	2251	4970
352	2257	4962
353	2263	4955
354	2268	4946
355	2275	4940
356	2280	4931
357	2285	4922
358	2291	4915
359	2296	4906
360	2302	4898
361	2308	4890
362	2313	4882
363	2319	4875
364	2332	4882
365	2342	4883
366	2356	4891
367	2364	4888
368	2369	4880
369	2375	4872
370	2381	4865
371	2387	4858
372	2395	4855
373	2406	4858
374	2414	4855
375	2420	4848
376	2426	4840
377	2432	4832
378	2438	4825
379	2444	4817
380	2450	4810
381	2455	4802
382	2461	4794
383	2467	4787
384	2472	4778
385	2479	4771
386	2487	4768
387	2492	4760
388	2498	4753
389	2504	4745
390	2510	4738
391	2516	4731
392	2522	4723
393	2528	4716
394	2533	4708
395	2540	4701
396	2545	4694
397	2551	4686
398	2557	4679
399	2563	4672
400	2569	4664
401	2575	4657
402	2581	4650
403	2587	4643
404	2593	4636
405	2599	4628
406	2605	4622
407	2611	4615
408	2617	4608
409	2623	4601
410	2629	4593
411	2635	4586
412	2641	4578
413	2647	4571
414	2653	4564
415	2659	4557
416	2664	4550
417	2670	4542
418	2676	4536
