number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
0,1987.1481955749189,2022-03-14 11:13:03.411817,2022-03-14 11:13:32.139877,0 days 00:00:28.728060,29,sqrt,29,625,COMPLETE
1,2013.113967322126,2022-03-14 11:13:32.139877,2022-03-14 11:13:40.040432,0 days 00:00:07.900555,50,log2,7,213,COMPLETE
2,2345.8301310981315,2022-03-14 11:13:40.040432,2022-03-14 11:14:18.583347,0 days 00:00:38.542915,35,auto,33,249,COMPLETE
3,2365.1810857227556,2022-03-14 11:14:18.583347,2022-03-14 11:14:50.625962,0 days 00:00:32.042615,47,auto,19,164,COMPLETE
4,1986.1692832893561,2022-03-14 11:14:50.625962,2022-03-14 11:14:56.668977,0 days 00:00:06.043015,19,sqrt,52,142,COMPLETE
5,1967.9738346284935,2022-03-14 11:14:56.668977,2022-03-14 11:15:25.594571,0 days 00:00:28.925594,20,sqrt,50,720,COMPLETE
6,1971.753248499651,2022-03-14 11:15:25.602604,2022-03-14 11:15:35.740286,0 days 00:00:10.137682,28,log2,32,285,COMPLETE
7,2309.432628890193,2022-03-14 11:15:35.740286,2022-03-14 11:17:49.609536,0 days 00:02:13.869250,21,auto,55,914,COMPLETE
8,2308.8201258887184,2022-03-14 11:17:49.609536,2022-03-14 11:20:10.812339,0 days 00:02:21.202803,25,auto,52,929,COMPLETE
9,2351.5328964104338,2022-03-14 11:20:10.812339,2022-03-14 11:20:31.080647,0 days 00:00:20.268308,42,auto,23,118,COMPLETE
10,2004.2087116952196,2022-03-14 11:20:31.080647,2022-03-14 11:20:50.682520,0 days 00:00:19.601873,8,sqrt,43,642,COMPLETE
11,1960.1005933599452,2022-03-14 11:20:50.682520,2022-03-14 11:21:06.499344,0 days 00:00:15.816824,12,log2,39,409,COMPLETE
12,1969.0922347660126,2022-03-14 11:21:06.499344,2022-03-14 11:21:20.925779,0 days 00:00:14.426435,11,log2,42,449,COMPLETE
13,1956.7723777350056,2022-03-14 11:21:20.925779,2022-03-14 11:21:44.672565,0 days 00:00:23.746786,16,log2,43,737,COMPLETE
14,1964.2749247588638,2022-03-14 11:21:44.672565,2022-03-14 11:21:57.551193,0 days 00:00:12.878628,13,log2,41,395,COMPLETE
15,2017.4465496589555,2022-03-14 11:21:57.551193,2022-03-14 11:22:15.144148,0 days 00:00:17.592955,6,log2,59,772,COMPLETE
16,1964.3197448678584,2022-03-14 11:22:15.144148,2022-03-14 11:22:37.596209,0 days 00:00:22.452061,15,log2,37,543,COMPLETE
17,2147.6325700896055,2022-03-14 11:22:37.596209,2022-03-14 11:22:52.308228,0 days 00:00:14.712019,4,log2,17,808,COMPLETE
18,1978.372685697436,2022-03-14 11:22:52.308228,2022-03-14 11:23:03.357465,0 days 00:00:11.049237,15,log2,47,372,COMPLETE
19,1949.639020732454,2022-03-14 11:23:03.357465,2022-03-14 11:23:19.199417,0 days 00:00:15.841952,35,log2,29,534,COMPLETE
20,1960.125861667289,2022-03-14 11:23:19.199417,2022-03-14 11:23:38.839153,0 days 00:00:19.639736,33,log2,9,556,COMPLETE
21,1931.1649435116287,2022-03-14 11:23:38.839153,2022-03-14 11:23:56.139367,0 days 00:00:17.300214,41,log2,25,502,COMPLETE
22,2003.034926095176,2022-03-14 11:23:56.154989,2022-03-14 11:23:56.841411,0 days 00:00:00.686422,39,log2,26,17,COMPLETE
23,1960.0339736887126,2022-03-14 11:23:56.841411,2022-03-14 11:24:20.000141,0 days 00:00:23.158730,41,log2,17,671,COMPLETE
24,1983.836300656435,2022-03-14 11:24:20.000141,2022-03-14 11:24:45.097873,0 days 00:00:25.097732,35,log2,2,504,COMPLETE
25,1963.7068778971093,2022-03-14 11:24:45.097873,2022-03-14 11:25:11.026546,0 days 00:00:25.928673,46,log2,35,835,COMPLETE
26,1967.537817270822,2022-03-14 11:25:11.026546,2022-03-14 11:25:41.650012,0 days 00:00:30.623466,38,log2,23,992,COMPLETE
27,1963.868614856478,2022-03-14 11:25:41.650012,2022-03-14 11:26:00.925480,0 days 00:00:19.275468,30,log2,28,593,COMPLETE
28,1958.4889632202407,2022-03-14 11:26:00.925480,2022-03-14 11:26:11.533564,0 days 00:00:10.608084,24,sqrt,47,324,COMPLETE
29,1957.2007342156799,2022-03-14 11:26:11.533564,2022-03-14 11:26:26.916908,0 days 00:00:15.383344,31,log2,24,485,COMPLETE
